,Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
52,vw,polo,1.0,diesel,0.0,207339.0,1480.0
53,ford,fiesta,1.0,petrol,0.0,182958.0,873.0
54,vw,passat,1.6,diesel,1994.0,114647.0,4008.0
55,vw,polo,1.0,petrol,1995.0,162993.0,1482.0
56,vw,golf,1.2,petrol,2002.0,139884.0,3713.0
57,porsche,cayenne,2.6,diesel,2015.0,0.0,54037.0
58,bmw,z4,2.2,petrol,2004.0,126777.0,8373.0
59,ford,fiesta,1.2,petrol,2010.0,51553.0,9813.0
60,toyota,yaris,1.0,petrol,2010.0,75821.0,8851.0
61,vw,polo,1.4,diesel,2010.0,45193.0,11881.0
62,vw,polo,1.6,petrol,1997.0,87723.0,3840.0
63,ford,focus,1.8,petrol,1993.0,279656.0,863.0
64,vw,golf,2.0,hybrid,2018.0,25017.0,36957.0
65,ford,fiesta,1.2,petrol,1996.0,111771.0,2543.0
66,toyota,prius,1.4,hybrid,2016.0,43893.0,0.0
67,toyota,yaris,1.0,petrol,2007.0,118788.0,5306.0
68,toyota,prius,1.4,hybrid,2016.0,43130.0,30085.0
69,vw,passat,1.6,diesel,1991.0,247911.0,1052.0
70,ford,focus,2.0,petrol,1991.0,272161.0,854.0
71,vw,passat,1.6,diesel,1994.0,179361.0,2371.0
72,desconocido,fiesta,1.0,petrol,2009.0,66424.0,7616.0
73,ford,mondeo,1.8,diesel,1999.0,104544.0,6058.0
74,toyota,yaris,1.0,hybrid,1999.0,80589.0,4937.0
75,ford,mondeo,0.0,diesel,2000.0,128137.0,4771.0
76,porsche,718 cayman,2.0,petrol,1992.0,169078.0,3074.0
77,vw,passat,1.6,petrol,2016.0,64344.0,23641.0
78,vw,passat,1.6,diesel,1993.0,176456.0,2274.0
79,ford,focus,1.4,desconocido,1985.0,179526.0,1105.0
80,toyota,rav4,1.8,hybrid,1999.0,162425.0,5396.0
81,porsche,718 cayman,2.4,petrol,0.0,14070.0,69526.0
82,bmw,z4,2.4,petrol,1993.0,226492.0,1799.0
83,ford,fiesta,1.2,petrol,1995.0,183332.0,0.0
84,vw,golf,2.0,petrol,1990.0,118673.0,2543.0
85,toyota,prius,1.0,hybrid,1993.0,333629.0,478.0
86,desconocido,passat,1.8,diesel,1991.0,155034.0,2526.0
87,toyota,yaris,1.2,petrol,1990.0,200892.0,947.0
88,ford,focus,1.8,petrol,2020.0,22371.0,40336.0
89,ford,mondeo,1.6,diesel,2015.0,21834.0,28435.0
90,ford,focus,1.0,petrol,1985.0,223615.0,633.0
91,ford,mondeo,1.6,diesel,2007.0,100798.0,0.0
92,bmw,z4,2.4,petrol,1997.0,103758.0,6532.0
93,ford,fiesta,1.2,petrol,1997.0,156919.0,1901.0
94,toyota,yaris,1.0,petrol,2008.0,42621.0,9591.0
95,vw,desconocido,1.4,diesel,2010.0,64359.0,15563.0
96,ford,focus,2.0,petrol,2002.0,180048.0,4086.0
97,ford,mondeo,1.6,hybrid,2005.0,142689.0,7247.0
98,vw,passat,1.6,diesel,2018.0,22122.0,36634.0
99,bmw,m5,4.4,petrol,1987.0,226046.0,2956.0
100,ford,focus,1.4,petrol,1987.0,236315.0,763.0
101,bmw,m5,4.4,petrol,2008.0,109941.0,31711.0
102,ford,fiesta,1.0,petrol,2009.0,61615.0,7859.0
103,ford,focus,1.8,diesel,1989.0,297635.0,585.0
104,toyota,prius,1.8,hybrid,1995.0,112413.0,5238.0
105,ford,fiesta,1.2,petrol,2008.0,96911.0,6318.0
106,vw,passat,1.6,diesel,1990.0,223561.0,1229.0
107,vw,passat,1.4,diesel,2020.0,21413.0,39310.0
108,bmw,z4,2.2,desconocido,2018.0,32319.0,40706.0
109,toyota,rav4,2.4,petrol,2021.0,6829.0,66031.0
110,vw,polo,1.6,petrol,2010.0,108111.0,7878.0
111,ford,mondeo,1.6,diesel,1998.0,137896.0,4132.0
112,ford,focus,1.6,petrol,2013.0,66163.0,18269.0
113,vw,desconocido,1.6,diesel,2010.0,66410.0,16414.0
114,bmw,z4,2.2,petrol,0.0,61332.0,26084.0
115,toyota,rav4,2.4,petrol,0.0,34379.0,40646.0
116,porsche,911,3.5,desconocido,2003.0,107705.0,24378.0
117,vw,golf,1.8,diesel,2014.0,0.0,23034.0
118,vw,passat,1.6,diesel,2015.0,0.0,0.0
119,bmw,z4,2.4,desconocido,1997.0,146910.0,4671.0
120,toyota,prius,1.4,hybrid,2001.0,152067.0,5040.0
121,bmw,m5,4.0,petrol,2003.0,123913.0,19474.0
122,toyota,rav4,1.8,hybrid,2005.0,119097.0,11398.0
123,vw,golf,1.2,diesel,2008.0,97150.0,8066.0
124,ford,focus,2.0,petrol,2010.0,86405.0,14567.0
125,toyota,yaris,1.2,hybrid,2001.0,85798.0,5959.0
126,vw,golf,2.0,diesel,2015.0,0.0,22743.0
127,bmw,z4,3.0,petrol,2014.0,80934.0,26708.0
128,vw,polo,1.0,petrol,1998.0,97043.0,3036.0
129,toyota,yaris,1.0,petrol,2001.0,58770.0,5438.0
130,vw,passat,1.8,petrol,2008.0,84855.0,12800.0
131,vw,passat,1.6,diesel,2014.0,50898.0,23677.0
132,ford,focus,1.6,diesel,1998.0,0.0,3704.0
133,toyota,rav4,1.8,hybrid,2001.0,212899.0,3981.0
134,vw,golf,1.6,petrol,2001.0,140596.0,3988.0
135,porsche,718 cayman,2.4,petrol,1988.0,256489.0,1183.0
136,bmw,x3,3.0,petrol,2018.0,20441.0,53379.0
137,toyota,yaris,1.2,petrol,1986.0,147185.0,1145.0
138,bmw,m5,4.4,petrol,1997.0,172030.0,0.0
139,ford,focus,1.8,petrol,2005.0,149956.0,6094.0
140,vw,passat,1.6,diesel,2009.0,134426.0,9345.0
141,toyota,rav4,1.8,hybrid,0.0,91688.0,19491.0
142,toyota,prius,1.8,hybrid,2005.0,41969.0,16500.0
143,vw,passat,2.0,petrol,2013.0,38210.0,25482.0
144,toyota,prius,1.0,hybrid,2012.0,0.0,19023.0
145,bmw,x3,2.0,diesel,2018.0,27389.0,44018.0
146,vw,polo,2.0,petrol,1995.0,128234.0,2778.0
147,vw,passat,1.4,diesel,2008.0,112309.0,9705.0
148,desconocido,polo,1.4,petrol,1984.0,225099.0,489.0
149,porsche,cayenne,2.6,diesel,2003.0,105361.0,15069.0
150,ford,focus,1.4,petrol,2005.0,97979.0,8039.0
151,ford,mondeo,1.6,petrol,2016.0,40104.0,26053.0
152,vw,passat,2.0,petrol,1993.0,158259.0,2822.0
153,porsche,718 cayman,4.0,petrol,2018.0,20634.0,70913.0
154,bmw,z4,2.0,petrol,2010.0,98644.0,14728.0
155,ford,focus,2.0,petrol,1991.0,176358.0,2025.0
156,ford,desconocido,1.8,diesel,1998.0,69223.0,7267.0
157,bmw,x3,3.0,petrol,2008.0,20860.0,27342.0
158,toyota,rav4,2.0,petrol,2009.0,59936.0,19881.0
159,vw,polo,1.4,petrol,2012.0,58214.0,11916.0
160,ford,fiesta,0.0,petrol,2020.0,33832.0,0.0
161,vw,golf,1.2,diesel,2009.0,104436.0,0.0
162,bmw,z4,2.0,petrol,1992.0,249377.0,1246.0
163,desconocido,cayenne,2.6,petrol,2003.0,143603.0,10667.0
164,ford,mondeo,1.8,desconocido,2007.0,115932.0,9481.0
165,ford,fiesta,1.4,petrol,2016.0,61363.0,14854.0
166,vw,polo,2.0,petrol,2016.0,17810.0,23636.0
167,toyota,rav4,1.8,hybrid,2021.0,8120.0,68163.0
168,vw,polo,2.0,petrol,1990.0,142888.0,1771.0
169,toyota,yaris,1.0,petrol,2009.0,68094.0,8721.0
170,ford,mondeo,2.0,diesel,2016.0,51724.0,0.0
171,vw,polo,1.0,petrol,1998.0,224106.0,1062.0
172,ford,fiesta,1.0,petrol,2009.0,83796.0,6768.0
173,toyota,rav4,2.2,hybrid,2012.0,91325.0,0.0
174,vw,passat,2.0,diesel,1997.0,173089.0,3416.0
175,ford,focus,2.0,diesel,2013.0,75451.0,20153.0
176,toyota,prius,1.0,hybrid,2006.0,103766.0,8671.0
177,ford,mondeo,1.6,diesel,2014.0,82221.0,18224.0
178,vw,passat,1.6,diesel,1985.0,0.0,4129.0
179,toyota,rav4,2.4,hybrid,2012.0,94338.0,25232.0
180,porsche,cayenne,2.6,diesel,2019.0,0.0,76182.0
181,vw,polo,1.2,diesel,2018.0,37411.0,19649.0
182,toyota,desconocido,1.2,petrol,2004.0,0.0,2914.0
183,porsche,718 cayman,2.0,petrol,1999.0,206584.0,3542.0
184,toyota,prius,1.0,hybrid,1996.0,87664.0,5001.0
185,ford,mondeo,1.8,diesel,2016.0,29439.0,30886.0
186,ford,focus,1.0,diesel,2006.0,120770.0,6429.0
187,ford,mondeo,1.6,diesel,1998.0,246137.0,1614.0
188,toyota,prius,1.4,hybrid,2012.0,72136.0,19139.0
189,ford,focus,2.0,diesel,2001.0,147478.0,0.0
190,bmw,z4,2.4,petrol,1997.0,149908.0,0.0
191,bmw,m5,4.4,petrol,1997.0,66783.0,20664.0
192,ford,mondeo,1.4,diesel,2020.0,18929.0,37720.0
193,vw,golf,1.4,diesel,2013.0,53405.0,16365.0
194,vw,golf,0.0,diesel,2001.0,136439.0,4049.0
195,vw,desconocido,1.2,petrol,2001.0,110779.0,3670.0
196,vw,golf,2.0,petrol,1991.0,188856.0,1528.0
197,toyota,yaris,1.0,hybrid,2013.0,12867.0,19025.0
198,ford,focus,2.0,diesel,1994.0,162098.0,2930.0
199,ford,mondeo,1.6,diesel,2013.0,0.0,17370.0
200,ford,mondeo,1.8,diesel,2011.0,97523.0,14195.0
201,vw,golf,1.6,petrol,1994.0,104541.0,3304.0
202,vw,golf,1.6,petrol,2016.0,57451.0,19835.0
203,toyota,yaris,1.2,petrol,2003.0,104794.0,4947.0
204,toyota,yaris,1.0,petrol,2002.0,227469.0,1517.0
205,vw,passat,1.8,diesel,2006.0,81107.0,12073.0
206,ford,fiesta,1.2,petrol,2008.0,79566.0,7142.0
207,toyota,yaris,1.4,petrol,2007.0,85068.0,8043.0
208,toyota,desconocido,2.0,hybrid,2000.0,123838.0,8299.0
209,toyota,rav4,2.2,hybrid,2014.0,66511.0,33453.0
210,vw,passat,1.6,diesel,1999.0,207639.0,0.0
211,bmw,x3,3.0,diesel,1990.0,150375.0,3510.0
212,vw,passat,1.4,diesel,2013.0,70458.0,18256.0
213,toyota,prius,1.8,hybrid,2016.0,44550.0,33820.0
214,vw,passat,1.6,petrol,2012.0,0.0,19428.0
215,porsche,cayenne,2.6,diesel,2015.0,46563.0,50028.0
216,ford,fiesta,1.0,petrol,0.0,184586.0,1916.0
217,ford,fiesta,1.2,petrol,2004.0,160915.0,2933.0
218,toyota,yaris,1.0,desconocido,2022.0,5179.0,36086.0
219,toyota,yaris,1.4,hybrid,2003.0,181179.0,3468.0
220,vw,polo,1.4,petrol,2019.0,23181.0,23449.0
221,toyota,yaris,1.4,hybrid,2016.0,66611.0,19942.0
222,vw,golf,1.8,hybrid,1999.0,105901.0,5810.0
223,ford,focus,1.4,diesel,2014.0,24652.0,24721.0
224,toyota,yaris,1.0,petrol,1995.0,255196.0,737.0
225,vw,polo,1.0,petrol,2014.0,24579.0,14089.0
226,toyota,rav4,1.8,petrol,2021.0,21354.0,52908.0
227,vw,golf,2.0,petrol,1991.0,117615.0,2741.0
228,ford,focus,2.0,petrol,0.0,0.0,4855.0
229,toyota,rav4,2.0,hybrid,2006.0,94325.0,15441.0
230,ford,desconocido,1.4,desconocido,2010.0,96320.0,7831.0
231,vw,golf,1.6,petrol,0.0,137231.0,1967.0
232,toyota,desconocido,2.2,hybrid,2015.0,35448.0,43415.0
233,toyota,rav4,2.0,hybrid,1995.0,142544.0,5129.0
234,bmw,m5,4.0,petrol,2012.0,46755.0,60859.0
235,desconocido,desconocido,1.6,petrol,2001.0,97700.0,4668.0
236,bmw,m5,5.0,petrol,2016.0,42059.0,91415.0
237,vw,polo,1.6,petrol,2012.0,48576.0,13537.0
238,vw,polo,1.4,petrol,2006.0,76691.0,0.0
239,toyota,rav4,1.8,hybrid,2017.0,15473.0,50215.0
240,ford,focus,2.0,desconocido,2000.0,110549.0,6273.0
241,ford,fiesta,1.0,petrol,1992.0,183342.0,994.0
242,ford,desconocido,1.4,petrol,2012.0,94259.0,13169.0
243,ford,mondeo,1.4,diesel,2018.0,42017.0,28904.0
244,vw,golf,1.2,petrol,1990.0,159547.0,1420.0
245,vw,polo,1.4,petrol,2000.0,73749.0,4833.0
246,toyota,yaris,1.0,hybrid,2009.0,63292.0,10802.0
247,vw,passat,1.4,desconocido,2013.0,71904.0,18080.0
248,ford,mondeo,1.4,diesel,2006.0,159969.0,5504.0
249,toyota,yaris,1.2,petrol,2013.0,75588.0,11861.0
250,ford,mondeo,1.4,diesel,2018.0,18334.0,33119.0
251,vw,polo,1.2,petrol,1995.0,175506.0,1460.0
252,toyota,prius,1.8,hybrid,1985.0,0.0,949.0
253,vw,polo,1.0,petrol,1996.0,144412.0,1846.0
254,bmw,m5,4.4,petrol,2008.0,79613.0,39453.0
255,bmw,m5,4.4,petrol,2004.0,108396.0,24571.0
256,porsche,cayenne,3.0,petrol,2013.0,68093.0,39031.0
257,ford,mondeo,1.6,hybrid,2019.0,30152.0,40482.0
258,porsche,desconocido,3.0,petrol,2015.0,44761.0,77091.0
259,toyota,yaris,1.0,petrol,2012.0,52525.0,11780.0
260,toyota,yaris,1.0,petrol,2005.0,145747.0,3754.0
261,ford,mondeo,1.8,diesel,2016.0,16626.0,33172.0
262,ford,mondeo,1.4,diesel,1998.0,0.0,3364.0
263,toyota,prius,1.4,hybrid,1996.0,188308.0,2658.0
264,ford,focus,2.0,petrol,2001.0,72923.0,0.0
265,vw,golf,1.4,diesel,2007.0,104718.0,7710.0
266,vw,polo,2.0,petrol,1992.0,258967.0,731.0
267,vw,golf,1.2,desconocido,2000.0,168963.0,3069.0
268,desconocido,focus,2.0,diesel,1993.0,90439.0,4786.0
269,toyota,prius,1.4,hybrid,1991.0,213652.0,1523.0
270,desconocido,rav4,2.2,hybrid,2012.0,100268.0,23140.0
271,vw,golf,2.0,petrol,2019.0,26479.0,32650.0
272,vw,passat,1.4,desconocido,2009.0,109384.0,10605.0
273,ford,focus,2.0,petrol,2014.0,39083.0,25884.0
274,vw,passat,2.0,petrol,2002.0,73945.0,9749.0
275,ford,fiesta,1.4,petrol,2008.0,114007.0,6011.0
276,toyota,prius,1.8,hybrid,2003.0,125903.0,8052.0
277,vw,polo,1.4,petrol,1998.0,0.0,2884.0
278,porsche,911,3.0,petrol,1990.0,178957.0,5344.0
279,ford,mondeo,1.6,diesel,1996.0,118258.0,4217.0
280,toyota,yaris,1.4,hybrid,2004.0,100476.0,7076.0
281,ford,focus,1.0,petrol,1985.0,288486.0,347.0
282,vw,passat,2.0,diesel,1997.0,50121.0,8564.0
283,porsche,911,2.6,desconocido,2003.0,130068.0,17702.0
284,vw,golf,1.8,petrol,1992.0,135772.0,2412.0
285,desconocido,golf,1.8,desconocido,2010.0,70562.0,12942.0
286,ford,focus,2.0,diesel,2003.0,139651.0,6417.0
287,ford,focus,1.6,petrol,2004.0,106068.0,7575.0
288,porsche,718 cayman,2.0,petrol,0.0,18978.0,54090.0
289,vw,polo,1.6,diesel,2000.0,85142.0,5015.0
290,ford,mondeo,1.6,diesel,2012.0,0.0,17978.0
291,toyota,yaris,1.0,petrol,1993.0,121417.0,2045.0
292,ford,focus,1.0,petrol,2018.0,19640.0,26712.0
293,toyota,rav4,2.2,hybrid,2009.0,99740.0,19019.0
294,toyota,yaris,1.4,petrol,2004.0,159279.0,3718.0
295,ford,focus,1.4,petrol,1996.0,86718.0,4782.0
296,porsche,718 cayman,4.0,petrol,1993.0,150186.0,5438.0
297,bmw,m5,4.4,petrol,2019.0,20736.0,118474.0
298,vw,polo,1.4,petrol,1986.0,70039.0,1948.0
299,bmw,x3,3.0,diesel,2017.0,30285.0,49606.0
300,toyota,yaris,1.2,petrol,2016.0,38795.0,18326.0
301,toyota,rav4,2.4,hybrid,1995.0,203197.0,3359.0
302,toyota,rav4,2.4,petrol,2011.0,80839.0,21637.0
303,vw,golf,1.4,petrol,2002.0,174535.0,3010.0
304,vw,passat,1.6,petrol,1993.0,131899.0,3125.0
305,ford,focus,1.0,petrol,2021.0,14063.0,33627.0
306,bmw,z4,2.4,petrol,1996.0,149048.0,4294.0
307,vw,polo,1.0,petrol,1990.0,145249.0,1229.0
308,toyota,prius,1.0,hybrid,2007.0,61357.0,12446.0
309,toyota,yaris,1.2,hybrid,0.0,13000.0,7167.0
310,ford,fiesta,1.4,petrol,1986.0,263206.0,384.0
311,desconocido,yaris,1.4,petrol,2010.0,52847.0,12174.0
312,vw,passat,0.0,diesel,2009.0,100782.0,12083.0
313,vw,polo,1.0,petrol,1999.0,193458.0,1491.0
314,toyota,yaris,1.2,petrol,1997.0,174912.0,1892.0
315,ford,mondeo,2.0,hybrid,1998.0,169431.0,4074.0
316,toyota,prius,1.0,hybrid,1993.0,269373.0,882.0
317,bmw,x3,2.0,diesel,2009.0,129764.0,0.0
318,desconocido,prius,1.0,hybrid,1998.0,104481.0,5060.0
319,ford,mondeo,2.0,diesel,2008.0,105468.0,11556.0
320,bmw,m5,4.0,petrol,2000.0,153596.0,12574.0
321,ford,fiesta,1.4,petrol,1993.0,84644.0,2739.0
322,vw,golf,1.6,petrol,2001.0,205054.0,2309.0
323,vw,polo,1.0,petrol,1993.0,159497.0,1335.0
324,ford,focus,1.8,petrol,2002.0,166994.0,4332.0
325,vw,polo,1.4,petrol,1997.0,143465.0,2352.0
326,ford,mondeo,1.6,diesel,2015.0,59927.0,22621.0
327,porsche,718 cayman,0.0,petrol,2005.0,132662.0,13935.0
328,ford,fiesta,1.4,petrol,2014.0,54142.0,13615.0
329,ford,fiesta,1.0,petrol,2001.0,92561.0,3732.0
330,ford,mondeo,1.6,desconocido,2010.0,80723.0,13432.0
331,toyota,yaris,1.2,petrol,1985.0,73419.0,1861.0
332,ford,focus,1.6,petrol,1995.0,84529.0,4856.0
333,ford,focus,1.6,diesel,2022.0,5750.0,49870.0
334,toyota,rav4,2.4,hybrid,0.0,144529.0,13154.0
335,toyota,rav4,1.8,hybrid,2014.0,45184.0,34655.0
336,vw,polo,1.0,petrol,1992.0,214329.0,777.0
337,toyota,prius,1.8,hybrid,1997.0,188455.0,3218.0
338,vw,desconocido,1.4,petrol,1994.0,182166.0,1394.0
339,toyota,rav4,2.2,hybrid,2018.0,39082.0,51898.0
340,vw,passat,1.8,desconocido,2001.0,0.0,4296.0
341,bmw,m5,4.4,petrol,2011.0,78714.0,48487.0
342,vw,passat,2.0,diesel,2011.0,73733.0,18680.0
343,ford,mondeo,1.8,diesel,1997.0,242305.0,1659.0
344,ford,mondeo,1.8,diesel,2001.0,166344.0,4239.0
345,toyota,yaris,1.2,hybrid,1990.0,97463.0,2633.0
346,ford,mondeo,1.4,diesel,2013.0,50433.0,0.0
347,ford,mondeo,1.4,desconocido,2018.0,24229.0,32057.0
348,bmw,z4,2.2,petrol,2009.0,74444.0,17133.0
349,toyota,rav4,2.2,hybrid,2016.0,45462.0,43702.0
350,desconocido,mondeo,1.4,diesel,2006.0,89524.0,9500.0
351,vw,passat,1.6,petrol,1991.0,16000.0,5963.0
352,ford,mondeo,2.0,diesel,2022.0,1487.0,56459.0
353,vw,golf,1.4,petrol,2011.0,87947.0,10825.0
354,ford,mondeo,1.6,diesel,2016.0,40113.0,27354.0
355,vw,golf,1.4,diesel,2000.0,76717.0,5902.0
356,vw,passat,1.4,petrol,1991.0,269218.0,0.0
357,toyota,prius,1.0,hybrid,2015.0,48540.0,23011.0
358,toyota,prius,1.4,hybrid,2013.0,88811.0,18232.0
359,toyota,yaris,1.0,petrol,2002.0,84781.0,4880.0
360,toyota,rav4,2.2,hybrid,1989.0,272683.0,1142.0
361,ford,mondeo,1.6,diesel,2018.0,46461.0,30075.0
362,toyota,rav4,1.8,hybrid,2014.0,53321.0,32948.0
363,ford,mondeo,1.6,petrol,1994.0,264924.0,989.0
364,porsche,cayenne,4.0,petrol,2000.0,145140.0,10699.0
365,toyota,prius,1.8,hybrid,2007.0,132296.0,9998.0
366,vw,golf,1.2,diesel,1997.0,144909.0,2682.0
367,ford,fiesta,1.0,diesel,1986.0,138224.0,1019.0
368,porsche,718 cayman,4.0,petrol,1988.0,219671.0,2140.0
369,vw,passat,1.4,diesel,1989.0,0.0,264.0
370,vw,passat,1.4,diesel,1990.0,74327.0,3838.0
371,vw,golf,1.6,petrol,1989.0,205047.0,1037.0
372,ford,mondeo,1.6,diesel,0.0,7454.0,48982.0
373,vw,golf,2.0,diesel,2016.0,11234.0,30509.0
374,vw,polo,1.6,petrol,2010.0,97296.0,8531.0
375,vw,golf,2.0,petrol,2017.0,44227.0,25745.0
376,vw,passat,1.4,diesel,1985.0,0.0,549.0
377,bmw,z4,2.2,petrol,1997.0,250431.0,1806.0
378,ford,fiesta,1.2,petrol,1989.0,149015.0,1190.0
379,toyota,rav4,2.0,hybrid,2004.0,138340.0,9666.0
380,toyota,yaris,1.2,hybrid,1987.0,133425.0,0.0
381,toyota,prius,1.0,desconocido,0.0,143411.0,4571.0
382,vw,polo,1.4,petrol,2016.0,40742.0,17342.0
383,bmw,m5,5.0,petrol,1999.0,82222.0,22668.0
384,vw,golf,1.4,desconocido,2012.0,49674.0,14925.0
385,vw,polo,1.6,petrol,0.0,66103.0,0.0
386,vw,golf,1.6,desconocido,1999.0,91360.0,5075.0
387,vw,polo,2.0,petrol,1990.0,215167.0,954.0
388,bmw,m5,4.0,petrol,2006.0,30902.0,44836.0
389,porsche,911,3.0,petrol,2014.0,65307.0,63310.0
390,toyota,prius,1.8,hybrid,2018.0,19017.0,44797.0
391,toyota,yaris,1.4,hybrid,2007.0,143360.0,6209.0
392,bmw,z4,2.4,petrol,2021.0,4915.0,0.0
393,bmw,z4,3.0,petrol,1993.0,260043.0,1477.0
394,ford,focus,1.4,petrol,2015.0,36919.0,23449.0
395,vw,polo,1.4,petrol,2001.0,105306.0,4129.0
396,toyota,prius,1.8,hybrid,1992.0,231649.0,1569.0
397,ford,desconocido,1.6,petrol,1994.0,74472.0,4869.0
398,toyota,yaris,1.2,desconocido,2012.0,102514.0,9168.0
399,vw,polo,1.0,petrol,1997.0,134735.0,2132.0
400,ford,focus,1.6,petrol,1992.0,175881.0,1944.0
401,porsche,cayenne,3.0,petrol,2006.0,126718.0,16004.0
402,toyota,prius,1.8,hybrid,2008.0,86326.0,15075.0
403,ford,fiesta,1.4,petrol,1992.0,245794.0,0.0
404,vw,passat,1.6,diesel,1988.0,210194.0,1213.0
405,bmw,m5,4.0,petrol,1984.0,0.0,7064.0
406,ford,fiesta,1.0,petrol,2006.0,113610.0,4460.0
407,vw,desconocido,2.0,desconocido,2003.0,106761.0,8665.0
408,ford,fiesta,1.4,petrol,1992.0,280925.0,485.0
409,ford,fiesta,1.2,petrol,2018.0,29268.0,19119.0
410,ford,desconocido,1.8,diesel,2014.0,21377.0,28286.0
411,desconocido,focus,1.4,petrol,2010.0,0.0,13881.0
412,toyota,yaris,1.4,hybrid,2018.0,26795.0,29102.0
413,bmw,z4,2.4,petrol,2018.0,15028.0,46830.0
414,ford,focus,1.4,petrol,1995.0,144557.0,2883.0
415,vw,passat,1.6,diesel,2011.0,53818.0,19033.0
416,ford,fiesta,1.0,petrol,2005.0,165149.0,2762.0
417,bmw,m5,4.4,petrol,1995.0,157046.0,9184.0
418,ford,mondeo,1.8,diesel,2002.0,48312.0,10853.0
419,porsche,911,2.2,petrol,1998.0,172529.0,8241.0
420,vw,polo,1.2,petrol,2018.0,33619.0,19135.0
421,vw,passat,2.0,diesel,2001.0,210531.0,3218.0
422,porsche,desconocido,2.2,petrol,1995.0,170716.0,6851.0
423,ford,focus,1.0,petrol,2005.0,102319.0,6582.0
424,ford,focus,1.6,petrol,1992.0,83482.0,4005.0
425,bmw,z4,2.0,petrol,2003.0,184605.0,4636.0
426,toyota,yaris,1.2,hybrid,0.0,68974.0,13024.0
427,toyota,yaris,1.2,desconocido,2007.0,87731.0,8770.0
428,toyota,desconocido,1.4,hybrid,2003.0,91908.0,9156.0
429,vw,polo,1.2,desconocido,2009.0,115991.0,6014.0
430,vw,passat,2.0,diesel,2003.0,99554.0,9137.0
431,vw,golf,2.0,petrol,1993.0,210355.0,1445.0
